2025-09-07 16:18:33 [INFO] robots.txt loaded from https://robotwin-platform.github.io/robots.txt
2025-09-07 16:18:35 [INFO] Sitemap seeded: queue size now 1
2025-09-07 16:18:35 [INFO] Start crawl: base=https://robotwin-platform.github.io/doc/  out=/home/liwenbo/project/FlashRAG/construct_data/corpus_out
2025-09-07 16:19:10 [INFO] [42/2000000] Fetch #41: https://robotwin-platform.github.io/doc/tasks/lift_pot.html (queue=7364)
2025-09-07 16:19:11 [INFO] [43/2000000] Fetch #42: https://robotwin-platform.github.io/doc/tasks/move_can_pot.html (queue=7522)
2025-09-07 16:19:11 [INFO] [44/2000000] Fetch #43: https://robotwin-platform.github.io/doc/tasks/move_playingcard_away.html (queue=7679)
2025-09-07 16:19:12 [INFO] [45/2000000] Fetch #44: https://robotwin-platform.github.io/doc/tasks/move_stapler_pad.html (queue=7835)
2025-09-07 16:19:13 [INFO] [46/2000000] Fetch #45: https://robotwin-platform.github.io/doc/tasks/open_laptop.html (queue=7990)
2025-09-07 16:19:14 [INFO] [47/2000000] Fetch #46: https://robotwin-platform.github.io/doc/tasks/open_microwave.html (queue=8144)
2025-09-07 16:19:15 [INFO] [48/2000000] Fetch #47: https://robotwin-platform.github.io/doc/tasks/pick_diverse_bottles.html (queue=8297)
2025-09-07 16:19:16 [INFO] [49/2000000] Fetch #48: https://robotwin-platform.github.io/doc/tasks/pick_dual_bottles.html (queue=8449)
2025-09-07 16:19:17 [INFO] [50/2000000] Fetch #49: https://robotwin-platform.github.io/doc/tasks/place_a2b_left.html (queue=8600)
2025-09-07 16:19:17 [INFO] [HEARTBEAT] pages=50 failed=0 chunks=50 deduped=1 queue~8751 elapsed=42.4s
2025-09-07 16:19:17 [INFO] [51/2000000] Fetch #50: https://robotwin-platform.github.io/doc/tasks/place_a2b_right.html (queue=8750)
2025-09-07 16:19:18 [INFO] [52/2000000] Fetch #51: https://robotwin-platform.github.io/doc/tasks/place_bread_basket.html (queue=8899)
2025-09-07 16:19:19 [INFO] [53/2000000] Fetch #52: https://robotwin-platform.github.io/doc/tasks/place_bread_skillet.html (queue=9047)
2025-09-07 16:19:20 [INFO] [54/2000000] Fetch #53: https://robotwin-platform.github.io/doc/tasks/place_burger_fries.html (queue=9194)
2025-09-07 16:19:21 [INFO] [55/2000000] Fetch #54: https://robotwin-platform.github.io/doc/tasks/place_can_basket.html (queue=9340)
2025-09-07 16:19:22 [INFO] [56/2000000] Fetch #55: https://robotwin-platform.github.io/doc/tasks/place_cans_plasticbox.html (queue=9485)
2025-09-07 16:19:23 [INFO] [57/2000000] Fetch #56: https://robotwin-platform.github.io/doc/tasks/place_container_plate.html (queue=9629)
2025-09-07 16:19:24 [INFO] [58/2000000] Fetch #57: https://robotwin-platform.github.io/doc/tasks/place_dual_shoes.html (queue=9772)
2025-09-07 16:19:24 [INFO] [59/2000000] Fetch #58: https://robotwin-platform.github.io/doc/tasks/place_empty_cup.html (queue=9914)
2025-09-07 16:19:25 [INFO] [60/2000000] Fetch #59: https://robotwin-platform.github.io/doc/tasks/place_fan.html (queue=10055)
2025-09-07 16:19:26 [INFO] [HEARTBEAT] pages=60 failed=0 chunks=60 deduped=1 queue~10196 elapsed=51.1s
2025-09-07 16:19:26 [INFO] [61/2000000] Fetch #60: https://robotwin-platform.github.io/doc/tasks/place_mouse_pad.html (queue=10195)
2025-09-07 16:19:27 [INFO] [62/2000000] Fetch #61: https://robotwin-platform.github.io/doc/tasks/place_object_basket.html (queue=10334)
2025-09-07 16:19:28 [INFO] [63/2000000] Fetch #62: https://robotwin-platform.github.io/doc/tasks/place_object_scale.html (queue=10472)
2025-09-07 16:19:29 [INFO] [64/2000000] Fetch #63: https://robotwin-platform.github.io/doc/tasks/place_object_stand.html (queue=10609)
2025-09-07 16:19:30 [INFO] [65/2000000] Fetch #64: https://robotwin-platform.github.io/doc/tasks/place_phone_stand.html (queue=10745)
2025-09-07 16:19:31 [INFO] [66/2000000] Fetch #65: https://robotwin-platform.github.io/doc/tasks/place_shoe.html (queue=10880)
2025-09-07 16:19:31 [INFO] [67/2000000] Fetch #66: https://robotwin-platform.github.io/doc/tasks/press_stapler.html (queue=11014)
2025-09-07 16:19:32 [INFO] [68/2000000] Fetch #67: https://robotwin-platform.github.io/doc/tasks/put_bottles_dustbin.html (queue=11147)
2025-09-07 16:19:33 [INFO] [69/2000000] Fetch #68: https://robotwin-platform.github.io/doc/tasks/put_object_cabinet.html (queue=11279)
